Topic	Stage	Actor	Complexity	Text	Interrupt	Turn	Affinity	Tangents (;)	Event	Anger	Fear	Ego	Respect	Humanism	Idealism	Pacifism	Altruism	Fatalism	Futurism	Tribalism	Authoritarianism	Militarism	Utilitarianism	Superiority
		Jack	16	There's also other things. Weird command codes. Strange voices on the phone.																				
	Climax	Joe	18	I'll talk to command. Well I would. . .				Launch																
	Denouement	Jack	20	Could be ghosts.																				
	Coda	Jack	15	It's probably ghosts.																				
		Joe	14	It could be ghosts.										0.5										
			13	Could be a failing power supply.																	0.5			0.5
			12	"Who knows, our missiles might not even go up in the air."																				
Others	Orientation	Joe	7	"Let's get down to brass tacks, Jacks. Won't make a difference whether our rocket goes up or not."		Keep																		
		Jack	10	"Ten. We have ten missiles, Joe."						5														
	Complication	Jack	10	What am I supposed to take you for? Some kind of a cowboy?								5	-5											
		Joe	12	Your struggle is essentially pointless.		Keep								-2				2						1
			14	Everyone but you will obey their commands anyways. I don't get it.				Jack													3			
			16	"You alone cannot save everybody, or even anybody."										-1	-1		-5	5					3	
			17	Nuclear war is the best chance we got.				War						1		-2		1				5	1	
			18	"Besides, we don't know how long the war will last."				War								-1						2	1	
			20	It is our duty. . . whether we divine the reason or not.				Duty													1	1		
		Jack	16	So we should just launch because others are launching?	Want	Give	Hate																	
	Climax	Joe	18	"If the Russkies thought like you did, we wouldn't be on DEFCON 1."				Defcon;Russians												5				
			20	This is reality. We have to operate on the dual principles of panic and paranoia.				Normality																
		Jack	20	Everyone can't think like you. We'd all be dead.		Keep					-5		5	3	3									
			22	"God, we're all gonna die."				Death			5		-5					3						
			24	There's no hope.														5						
	Denouement	Joe	15	It actually doesn't matter what they're doing.										5				-5		-5				
			12	We'll be better of thinking it through together.										3		2		-3						
	Coda	Jack	10	The no-lone zone. . . Huh.																				
		Joe	5	I suppose it's up to everyone else.																1				
Normality	Orientation	Joe	5	Where did we go so wrong?											2									
		Jack	7	The beautiful balance of powers. . . And mutually assured destruction.				Authority;Cycles					-3											
	Complication	Joe	9	The world will never be the same again.										2				3						
			11	We were the last ones to grow up.				Childhood						1				2						
	Climax	Jack	23	Your normal was just the last step to our end.		Keep		Doomsday		3		3	-1											
			25	What you really want is to get your innocence back.																				
		Joe	20	I just wish we could go back.										1	2			1						
	Denouement	Joe	15	"Alright, back to the present."				Calamity											1					
		Jack	23	God damn it you green horn! Is this really the time to get homesick?						10	3	3	-5											
	Coda	Jack	13	The past is past. We must think about tomorrow.															3					
			11	"Today's today, tomorrow's tomorrow."																				
Calamity	Orientation	Joe	6	I wonder how long the war will last.				War																
		Jack	8	"Open your eyes, Joe. You have no grasp on the present."																				
	Complication	Jack	10	The cost to the economy is enormous. The Manhattan project alone took 2 billion dollars. How much have us two leeched off of people's fear?		Keep		Complex;Development		4		1												
			13	School children are being drilled to take cover behind desks!		Keep		Civilians		4		1		-1									1	
			16	All this tension. How does this shit fuck with our minds?		Keep		Civilians		5		2		-0.5										
			19	These are the end times! There is no after!		Keep		Doomsday		5		2						2						
			22	"The land will be scarred, the life that depended on it ruined."		Keep		Nature		6		3						2						
			25	Two millenia of progress. . . Gone! We'll return to the dark ages.		Keep		Civilization;Cycles		6		3						3	-1					
			27	Hundreds of millions will die.		Give		Death		7		4						3						
		Joe	11	I suppose the preppers were right.										-1	-1		-1							
			12	Every man for himself.													-3			-1				
	Climax	Jack	23	"We will foot the bill, Joe."										1	1		1	3			2			
			20	"Joe. We can still survive. Not us, but humanity."				Man		-10	-10	5	5	5					2					
			26	The atom will be thankful.				Nukes		7								5						
		Joe	20	People are durable. We'll get through this.										1	2				1	1				
			22	It won't be all that bad.										-1	3		-1						2	
			24	The Russkies will pay for this.				Russians										1		4				3
	Denouement	Jack	20	I gotta calm my nerves.				Jack		-5	-5	5				5								
		Joe	10	Our sins will stop mattering soon.										1	-1								1	
	Coda	Jack	7	Somebody will have to dig the graves.				Death										2						
			5	What do you think will happen to our souls?				God																
War	Orientation	Jack	5	This war will be over before we know it.														0.5					0.5	
			8	And we too have our role to play.				Launch																
	Complication	Joe	10	Like a cowboy standoff. Nothing. . . nothing. . . then BLAM! Over.																		2		
		Jack	12	"After initial retaliation, there will be a land invasion."																				
		Joe	14	The war will be fought by those that are left over.										0.5				1						
			16	Only the bullets in this war will take 30 minutes to hit their targets.				Nukes																
		Jack	20	We're stuck dwiddling our thumbs.							3							0.5						
	Climax	Jack	22	"Joe, the missiles were already in the air when Germany invaded Poland."														2						
		Joe	22	It's an ugly war.												3								
			26	"It's an ugly war, but there is justice in it."				Justice						-3	1									1
			28	Any terrible war is followerd by an equivalently prosperous peace.											1	-1			1			1		
	Denouement	Joe	24	At least nobody will have to suffer for long.														1					0.5	
			20	I never thought that World War III would actually happen in our lifetimes.																				
	Coda	Jack	18	It doesn't make any sense.							2			0.5										
Defcon	Orientation	Joe	5	"DEFCON 1. . . Jack. Are we maximally ready, are we immediately responsive?"		Give		Launch																
		Jack	7	We've been on DEFCON 2 for two weeks now. What bumped us up to 1?		Give																		
	Complication	Joe	10	The first of the Russky missiles are expected to arrive in 15 minutes.				Russians																
			11	I don't know what happened. All I know are our orders.														0.5		0.5				
			14	I wonder what the Russkies call their DEFCON. Are their people aware of what's happening?				Russians						1										
		Jack	12	They better be evacuating everyone.										0.5						0.5				
			15	We were jinxed from the moment we gave DEFCON a name.														1						
	Climax	Jack	16	"When this is over, I'm going to retire from the air force."				Normality								0.5			0.5					
		Joe	16	"If all goes well, we'll be back at DEFCON 2 soon enough."											0.5	0.5								
	Denouement	Joe	14	The word DEFCON seems meaningless somehow now that we're here.																				
	Coda	Jack	10	So we hit doomsday while I was on alert. Great.				Doomsday																
		Joe	5	I suppose we should ready our defences.				Launch														0.1		
Nukes	Orientation	Jack	5	Our missiles have 50 times more power than the bombs we dropped on Japan.				Japan																
			7	I've always wondered about their shape.				Eroticism						0.5										
		Joe	5	They're a marvel of engineering aren't they?		Give		Development											1			2		
			7	What terrifying beasts!		Give		Destruction						0.5							1	0.25		0.5
	Complication	Jack	8	"They're also inter-continental, you don't even need to know who you're killing."				Destruction		5														
			11	Right now they're sleeping like babies.																				
			12	This is what they call deterrence. What use are they now? Deterrence has failed. Now they're trash.																				
	Climax	Joe	16	"Isn't it about time we launched them, Jack?"				Confront;Launch													0.25			0.25
	Denouement	Jack	18	We should dismantle them all.						5														
	Coda	Joe	16	They're making newer ones. Better ones.																				
		Jack	16	How many lives would ours claim?				Death																
Development	Orientation	Jack	5	Somebody thought it was a good idea to build these machines.														0.25						
		Joe	7	I heard development started with Einstein. He wrote a letter you see.											0.25				0.25					
	Complication	Joe	10	The weapons were necessary at the time. To beat Japan.				Japan							0.25							0.25		
			12	The Manhattan Project must have fed many mouths.										0.25								0.25	0.25	
			14	Oppenheimer was against the fusion nukes.																				
		Jack	8	The development started with our minds. We built a man who could conceive of death.				Scientists										1	0.5					
			14	We never got a say in what America would become.																	-0.25			
			16	It should have stopped at Harry Daghlian. We were like children playing with crayons.				Nature										1						
			18	Most of the development time went to producing enough plutonium to build the darned bombs. Did nature want us to have these things?														1						
			20	And it's all thanks to those Nazis of Peenesmünde that we even have these things.		Keep				3								1						
			22	Thank God for Werhner von Braun!						5								1				1		
			23	"Fission was not enough, we needed fusion."														1				1		
			24	If only Oppenheimer and his ilk had had some backbone!				Scientists		5					1			1						
	Climax	Joe	20	"It was inevitable that they would be built, once we had the technology."																				
			22	The dream of an ultimate weapon had always been there.				Dreamers											0.5			0.25		
			24	Thank god that they take so much to build.										0.5		1								
			26	"For a decade after the World War II, the world was a safe place."											1		0.5		0.5					
		Jack	26	We thought we'd been given divine right.				Man;God		5			-10					1						
			24	It was too early for them. We were not ready.						-5			10	1	1				1					
	Denouement	Joe	22	Somebody else could have built them.																		1	1	
	Coda	Jack	20	The market wanted it. So much time has disappeared into this day of destruction.				Complex;Time										3						
		Joe	20	It was blind pursuit.										0.5										
Destruction	Orientation	Joe	5	"Realistically, most people will survive. The nukes will only target military interests."										1			1						1	
		Jack	10	Ten percent of the world will just die.		Keep		Death										1						
	Complication	Jack	12	But more than that will perish second-hand.												-1								
			13	Massive amounts of fallout will cover the Earth.												-1								
			16	What about the total collapse of international order?		Give																	0.5	
			17	Ridiculuous! Who are we really targeting with these weapons? The concept of Communism? Is it worth the casualties?														2						
		Joe	14	Maybe the Russians have a doomsday device.				Doomsday														1		
			14	"With all that background radiation, we might not be able to reproduce."				Eroticism						0.5						0.5				
			15	Other species will have it worse.													1			1				
	Climax	Joe	16	"When we've been cleaned with atomic fire, we will truly enter the new world. A truly human era."				Man						3		-5		5	5					5
			20	"Only some of us will die, but none of the Russkies will survive."				Russians												10				
			18	Every action must have an equal and opposite reaction.														2						1
			14	"You're right, Jack. It will be terrible."				Forget						2	2	2		1						
		Jack	18	This is the only thing we're good at. Ask any Native American.				Indians		3		3								2				1
			18	We should send all 12 megatons of TNT the way Pentagon.				Confront		5	5		-5											
	Denouement	Joe	17	Destruction was the lovechild of the US and the USSR. The world will remember us for that.										2					2					
			20	Hopefully they'll learn from our mistakes. It won't have been pointless.										1					1				3	-1
		Jack	20	Perhaps by some miracle every nuke will be faulty.							-5		10		3			2						
	Coda	Joe	15	"God, I really hope the Russkies actually attacked us."										1	1					0.5		0.25		
		Jack	15	"When the nukes land, let's go tour the holocaust, Joe. I want to see the world we helped create."						5	5		5	1				1						
			15	Which of the Joint Chiefs of Staff do you think is the most erect right now?						5	-5	5									-1			
Civilians	Orientation	Joe	5	"This is for the good of the people, Jack. Would you rather just let them die without a fight?"										0.5						1			1	
	Complication	Jack	8	I don't see how we the people will benefit from this. Joe.										1	1			1						
		Joe	10	They're relying on us. I don't want our children to ask us what happened to the old America.				Time						1			0.5			0.5				
			12	Some will die. That's just how it is.																			1	
			14	Would you rather have the Russkies have their way with our women and children?				Eroticism										1		5				
		Jack	11	What about the Russian civilians?										1			1							
	Climax	Jack	20	"You don't get to pull civilians into this. It's our hand on the button, not theirs."						5			-5		2						1			
		Joe	15	"Okay, you're right. Little Timmy had no say in this."										0.5		0.5								
			20	What gives you the right to make that choice for them?		Give		Authority																1
			22	At least they will get to die for the good of the country.				Duty										3		1			5	
		Jack	26	What good is killing for the people who will soon cease to exist?						5					3			3						
	Denouement	Joe	10	I feel sorry for them. They're weak. We're strong.										1	1		1							1
		Jack	25	Let's go shake every civilians hand and ask them what they would have us do with the Russkies.						-5										1				
	Coda	Joe	20	"Well, the world ain't just, Jack, has nobody told you?"											-5			3						
			17	We're going to have to choose the lesser of two evils.											1			-1					3	1
			10	If only we could save everyone.												3	1			0.5				
		Jack	20	You're a heartless bastard.											-1			1						-2
			15	I hope LBJ appreciates your concern for the American people with a medal of honor.			Hate								-1						-2			
			10	The future generations will hate us.															1					-1
Authority	Orientation	Jack	5	We don't have the right to make this decision fo everyone.										0.5										
		Joe	7	We are given power by the Joint Chiefs of Staff.																	2			
	Complication	Joe	11	The Joint Chiefs of Staff were democratically elected.										1	1						1			
		Jack	14	"Really, and which of the Chiefs did you elect?"		Give															-1			
		Joe	18	Lyndon B Johnson won by a landslide. I personally voted for him.										0.25	0.5					0.25				
		Jack	22	It doesn't really matter. Don't you think this decision transcends politics?	Want	Keep	Love														-2			
			26	"After all, did the Russians cast a vote to be killed?"		Keep		Russians		1		1		1				1		-2				
			28	The children didn't cast a vote.		Keep								2										
			30	Neither did I nor did a third of the Americans cast a vote.		Keep														-1				
			32	"And of course Goldwater said that we should ""lob one into the men's room of the Kremlin"", so it wasn't much of a choice."		Keep												0.5			-0.5	-0.5		
			34	Fact is that one president alone cannot turn the ship of government.														1						
		Joe	20	America has involved itself in nuclear research. Whether we like it or not we have a responsibility before the world.											1				1					1
			25	Anyone would choose to retaliate. Besides you apparently.										0.5		-1				2				
			29	The democrats are not blind to the dangers of nuclear power.										0.5	0.5	0.5								
			32	LBJ signed the non-proliferation treaty.											0.25	0.25	0.25		0.5		1			
		Jack	35	You're pretending like nuclear weapons just happened to fall into our lap. We pursued them.				Scientists								-0.5		1						
			38	We have in effect a monopoly over nuclear power.								3												1
			41	We're at war. This is real. 		Give		War		5				0.5				0.25				0.5		
		Joe	38	Better us than them.											0.5					1				1
			41	You are claiming monopoly over nuclear power. Who are you?		Give														1				3
			44	You're the only one who doesn't seem to get it.																3				5
	Climax	Jack	47	We owe the future generations more than a reflexive response.						-5		-5	5		1		1							
			47	Which is more important to you? Our rights to arms or the rights of mankind to live?		Give				5		5	-5		3				1			-1		
			47	"Your ""authority"" is based on a system of government that was declared obselete fifteen minutes ago."						10		10	-10	2	-1				1					
		Joe	40	"So basically, you're saying that since no one has real authority use nuclear weapons, no one should."	Want		Love							3	5	3							1	
			43	"In a democracy, military officials are in absolute servitude of the democratically elected government, you included, whether you like it or not. "		Keep									5						3	3		
			46	"Without a chain of command, there is no democracy in a military organization. That is the meaning of duty."				Jack;Duty							5						5	3		
			49	"You're wrong. The American people have a right to freedom, which was granted us by the constitution. If any, and I mean any, force should restrict that right, it is only just that we resist that force with utmost brutality for the good of mankind."											2					1		1		1
			52	You are advocating for a world where the mild and the weak live under the tyranny of the strong and the cruel.				Eroticism; Justice						1	3	1	1				-1			-1
	Denouement	Jack	50	You're a weak-minded fool.						3	3													1
			50	Being able to dispense swift justice with violence but not doing so is a virtue all of its own.				Justice		-3	-3				1	3	1							
		Joe	50	Let's agree to disagree.														0.5						
			45	Should I invite LBJ here to discuss the notion of power with a washed up air force sergeant?		Give															1			1
			30	"Fine, you're right, we have no authority. But we have the power. So let us do what is right."				Justice						1			0.5				-1		0.5	1
			20	"It's not about legal authority anyways, it's about the spirit of the people."				Civilians						1						1				
			18	But you're my senior. So I guess I should listen to what you have to say.																	0.5			-1
			10	God gave us this power because he wanted us to use it. Who are we to question His designs?				God						-1										
	Coda	Jack	15	The future traps us. We have no more options left.														3						
		Joe	15	"Your idealism has rendered you immobile, Jack. You will begin to regret it."										1	-1			3	1					1
Russians	Orientation	Jack	9	"Why do you keep calling them ""Russkies""?"																				
		Joe	5	The Russkies think they can pull a fast one over us.																0.5				0.5
		Joe	13	Russky's a Russky. What do you call them? Soviets?										0.25						0.25				
		Jack	15	They're people too you know?										1										
	Complication	Jack	16	You do know that there are other peoples living in the Soviet Union?										0.5						-0.5				
		Joe	18	They're all the same though. They're commies.																1				
		Jack	22	Not all of them are communists.		Keep																		
			26	I'm just wondering whether you have anything against the Russians.																				
		Joe	28	"As I said, communists."																0.5				
			30	I guess they could be good people.										0.5		0.5		-2						-1
			34	But they aren't good people. Their tendrils have infiltrated the nearby nations.														3						
			37	Even we full-blooded Americans are in danger of their Russky Propaganda.											0.5					1				1
		Jack	34	"I mean, I don't personally know any Russians. Or communists for that matter."																				
			37	There was a chance at the start of century that Russia would become a democratic country. Imagine a world without the Soviets!											1				1	0.25				
			39	The world would be a better place without them. But that doesn't give us the right to murder them like the jews.												1			1	0.25				
			41	The Soviets did help us against the Nazis.										1										-1
		Joe	39	"What's more, the Russkies are numerours. "		Keep														2				
			41	"There're more Russkies than a more than us normal people, blacks included, in our United States. "																3				
			43	The Ruskies don't have the sort of family-oriented culture we do.										-1										1
			47	I knew a girl back in college.		Keep																		
			51	My friend knew a steady girl who he'd been off-and-on with since childhood. She ended up running away with a devilishly handsome Russky. Man cried tears I never thought a man could. Thought his heart would never heal.																				
			51	"I had a steady girl in college, thought of marrying her. But she was stolen away with lies by a silver-tongued Russky."																				
	Climax	Jack	54	The Soviets saw what happened to Japan. History make victims out of them.				History;Japan											0.5					
		Joe	48	"If we don't destroy the Russkies now, they will come after all of our women and children."				Eroticism												3				
	Denouement	Joe	48	"You know I'm getting too caught up on this Russky thing. This war isn't against Russkies, it's for Americans."										3										-3
			44	They would destroy us in a land war. That's why we had to trust the Europeans with NATO.												-1				1		1	1	
			34	"If they stayed in Russkyland, I wouldn't care what they did."												0.5								
		Jack	55	I guess there are probably many good reasons to hate the Russians.						-5	-5		10											
	Coda	Jack	55	I'm sorry I asked.						-5	-5		10											
			50	The US and USSR really are like star-crossed lovers.																				
			30	I suppose the Soviets were facing a similar dilemma.										3										
		Joe	50	"We'll make sure they won't forget, Jack."												-3		3		1				
			30	Bastards don't stay put.														1		1				1
Duty	Orientation	Joe	6	You have sworn an oath to the Constitution of the United States.										1							0.5			
			10	Yet you seem to be acting in complete disregard of that document.																	1			
	Complication	Joe	10	"What's more, you are also disobeying orders from the president."																	1			
		Jack	12	"But Joe, you have also given an oath to obey your superior officers. I order you to stand down."											-0.5							1	0.5	
			14	Our first duty is to be human. Being a citizen comes second. Being a military officer comes third. Our military does not exist outside citizenry. Our citizenry does not exist outside humanity.										3										
			16	The Joint Chiefs of Staff are crooks and enemies to the people and the consitution they pretend to uphold.											1									
			20	"My duty is to the people, the lives of the living, the memory of the dead, and the future of the unborn."						10				0.5	0.5									
		Joe	18	Laws should be followed in their spirit and not in their letter.											1								-1	
			22	You can't just follow the law when it suits you and not do so when it doesn't.											0.5						0.1		0.1	
		Jack	20	Of course the intent of the law is more important than what is written in ink.											1								-1	
			22	"As a superior officer, my judgment in moral matters is greater than yours."																	1			1
			24	"I admit, I may not have the most honest intentions towards our military here."																		-1		
		Joe	26	"The chiefs have a moral consenus, you don't even have a consensus in this room."										0.5							1	1		
			28	Everyone can't just stop doing their duty on a whim. It would be chaos!				Justice								0.5							0.5	
	Climax	Jack	30	What fierce defence of an abstract concept!											1									
			32	I suppose the abstractions we inhabit are more important than we ourselves!	Want		Hate							-1	1									
			37	Of course! The Japanese Kamikaze attacks were peak civilization.	Want		Hate	Japan		10			-5					1						
		Joe	36	"Justice, Democracy, and Duty are the pillars of any civilized society."											1						0.5			
	Denouement	Jack	37	I honor the ideals of the constitution and will not act in contempt of them.									10		1									
		Joe	20	Carrying out justice is our highest duty.				Justice						-0.5	1									
	Coda	Jack	25	I guess there's a reason they prefer young buck like you for these jobs.																				
		Joe	25	I will have you court martialled after this.																	1	1		1
			20	"You don't seem to believe in anything, Jack."																				1
			20	You're a communist.				Jack																
Complex	Orientation	Joe	5	The military industry has been good for the economy.										0.5			0.5					0.5		
	Complication	Jack	8	The military industry is just an expression of political interests.											-1									
		Joe	10	The military industry has given science and engineering projects a stable income.				Scientists						0.5								0.3		
			14	Science and engineering have benefitted greatly from DARPA.										0.5	0.5									
	Climax	Jack	12	Of course the military industry has now become its own political interest.														1				-0.5		
		Joe	10	They're using missile technology to go to the moon after all.											1				1			0.3		
			12	Military technology has the power to change the world.				Civilization											3			1		
	Denouement	Joe	10	A known market can be regulated and controlled. It is the black market of the CIA that I find the most dangerous.											1						0.5	1		
	Coda	Jack	10	You should have been using past tense. The military industry is inherently self-destructive as evidenced by today.														3				-2		
		Joe	8	Not all wars are fought against men.				Man						1								1		
Justice	Orientation	Joe	5	America's wars have no self-interests besides that of living in a just world.											1		1							
			9	"There is justice in this, even if you're blind of this."											0.5		0.5							0.5
		Jack	11	So you think this nuclear war is just.		Keep											0.5							
			12	I'm intersted how you came to that silly conclusion.		Give																		
	Complication	Joe	14	They started this conflict.				Russians								1				1				1
			16	We will end it before it gets worse.										1	1								1	
			18	Should a man not retaliate when he is struck?				Man						1						1				
		Jack	22	These all seem pretty self-interested to me.		Give									1									
		Joe	20	"If it weren't for the Americans, the Russkies could do as they please wherever they pleased."				Russians							1	1						1		1
			22	Shouldn't the forces of liberty not blot out the forces of authority?	Want									1	2									1
			24	"Our missiles are aimed at military bases, not civilians."											0.5		0.5						1	
	Climax	Joe	22	"If it's nuclear armageddon they want, they will get it."				Doomsday										3		5		5		
		Jack	28	"I see, so it's more about degree than measure for you."	Want		Hate			-10			10										2	
			28	"Get a grip, your country is dead. There is no justice in pointless vengeance."						10			-10					5						1
	Denouement	Joe	20	I'm going to stop justifying something I had no say in.										3				1			0.5			
		Jack	28	"Okay, okay, that's enough. I'm getting flustered myself."																				
	Coda	Joe	15	I guess I can't really prove that this is justice.										1	-1									
Civilization	Orientation	Joe	5	Civilizations must either prosper or perish.																				
		Jack	9	We have chosen to perish.														1						
	Complication	Joe	11	You seem to be under the strange impression that we are somehow at fault for the nuclear war.		Keep														0.5				1
			13	"This is not some sort of special sort of war. It's a war like any other, and we will get through this."		Keep									1	-0.5								
			15	The world is not black and white. It's not thrive or die.		Keep								0.5	-0.5				0.5					-0.5
	Climax	Joe	17	"In this conflict, democracy will finally prove that it is ultimately superior to authoritarianism."										1										1
			20	Your worldview is poisoned by fear.										0.5										0.5
			24	You fear the end. And your fear has paralyzed you.										1				-0.5						
			26	"You're afraid of making it worse, so you won't even try to make it better."				Duty						2	1		1	-2	0.5					
		Jack	19	"You're wrong, this has happened before. We will keep making the same mistakes."				Cycles										3						
	Denouement	Joe	15	"I don't know what's going to happen to us. But I'm hoping for the best. And while the end is not yet decided, I'm giving it my all."											1		0.5	-0.5						
	Coda	Jack	17	I'm just trying to stop us from killing this beautiful idea of humanity which we ourselves gave birth to.				Dreamers							1									
		Joe	17	"There's an interesting quote. ""Fear is the mind-killer."" Pay it some mind, will you Jack."																				
			15	If the world ends today. I suppose you have made our control center into the last democracy of our civilization.				Doomsday						0.5	0.5									
			12	No matter what happens today. Our global civilization will have lost something important today.				Man										2						
Eroticism	Orientation	Jack	7	"Your obsession with the ""Russkies"" seems rather strange."		Keep				5		5	-5											
	Complication	Jack	11	Is this all about breeding to you?	Want	Keep	Hate													1				
	Climax	Jack	12	That's the only reason you would want to kill all of them.																-0.5				-0.5
			13	"If you can't have them, neither can anyone else."																				
	Denouement	Joe	13	"What are you, Freud?"																				2
	Coda	Joe	10	There really is something wrong with you.				Jack						0.5										1
			10	I suppose the rockets do look like cocks to a degree.										1										-0.5
			10	So what if I want to spread my spawn?																				
		Jack	10	It might be true. You might not even know it.																				
Japan	Orientation	Joe	5	Japan is actually a good example of a nuclear weapon working as intended.																		0.5	1	
	Complication	Joe	7	This doesn't excuse the lives that were lost.										1	1								-2	
			10	Dropping the Little Boy and Fat Man ended the war before it could get worse.										1	1	0.5						0.5	1	
		Jack	14	How do you know the war ended because of the bombs?																				
		Joe	16	Look at Japan now. An economic miracle! A bastion of democracy in Asia!																1			0.5	
			18	"Back then, the Japanese themselves were ready to fight to the last. They already were doing so."												0.5				0.5		0.5		
			20	The bombs saved lives. It's simple arithmetic. Potential deaths minus actual deaths equals lives saved.																			5	
		Jack	18	"The Japanese were scarred by the event. Imagine how you would react to a city in your state being blow up by a bomb out of nowhere. In fact, how will you react?"		Give								3										
			24	"You can't compare those bombs to the monsters we, and the Soviets, have presently built. And there's not just 2 this time around, there's thousands."														3						
	Climax	Joe	22	"We can make history repeat itself, Jack."											1			2				0.5	1	1
			24	Can't you accept that everyone besides you isn't evil? Our leaders are not genocidial maniacs. Their decisions are rational.										1	0.5	0.5	0.5	-1			0.5	0.5		-1
		Jack	26	"I suppose you're right. With smaller quantities, there was some small good in nuclear power."								-5	10				0.5	-3				1		
			26	Don't conflate fission with the power of the stars. Today is incomparable to the bombings of Japan.							5		-10					3						
	Denouement	Joe	20	"Anyways, the decision to bomb Japan was made in the past by the generation of our fathers. We must now pick up that mantle ourselves."										1						1				
			10	"What happened to Japan, won't repeat today, Joe."				Forget						1	1	1	1	-2						
	Coda	Joe	20	"You can't always avoid death, Jack, lest you grow evil from sloth. You need to face that truth."				Confront;Death							0.5			-1					1	
			20	"In the end, only god can judge whether what happned to Japan was right."				God						-1							1			
			20	We took responsibility for the bombing of Japan back then. And today we will take responsibility for the attack on the Russkies.				Russians							0.25			0.5			0.5			
		Jack	20	"What would have happened, if Japan had had atomic weapons back then, I wonder."										0.5				2		-1				
			10	"Sometimes, we must sacrifice ourselves, our honour and position, just so we could do the right thing."										1	2		3	3					0.5	
Indians	Orientation	Jack	5	We were not the first ones here. This land is not ours.	Want		Love	Land						1	1									
			10	The Soviet will supplant just as we supplanted the Native American.		Keep												3		1				
			12	At least that would be fitting.														1						
	Complication	Joe	14	We integrated them into our culture.											0.5	0.5				0.5				2
		Jack	14	We have always destroyed in equal measure to what we created.											-0.5			1						-0.5
	Climax	Jack	16	The native civilizations are gone now. That is what we're going to do to the Soviet people.			Hate							-1	-1			1						
	Denouement	Joe	14	I don't really care about the Indians. They have their reservations.										-1	-1			1		1				1
		Jack	18	"Our passing is inevitable, Joe. The missiles are almost here."				Death;Time										3						
			17	I wonder if their mystics had an equivalent to our DEFCON.				Doomsday;Defcon											1					
	Coda	Jack	16	I don't want to destroy those who inherit.				Land						1		1			1					
			14	Who will remember?				Time										1						
		Joe	18	There were people before them as well. Nobody was the first. You're remembering ghosts.										3				2	0.5					-1
			16	"You're right. All passing is inevitable, not only ours but also Russkies'."				Confront										4		1		1		
			14	We are death.				Death						0.5	-0.5			1				0.5		0.5
			14	"You're wrong. The Native American is still here. He just changed shaped, as did the European immigrant."				Man						2						-1				
Scientists	Orientation	Joe	5	You have to respect the ingenuity of the human mind to be able to bring us here underground to send missiles to the other continents that will blow up entire cities.											0.5				1			0.2		0.1
		Jack	8	It was some sick curiosity that drove our scientists forward.										-0.5					-0.5					
	Complication	Joe	10	You know nothing of science. You're an aging man who doesn't want the world to change.														1						0.5
			13	Szilard didn't want them to bomb Japan. He started a petition to effect the opposite. 										1	0.5	0.5								
			17	"You think Otto Hahn, Lise Meitner, and Fritz Strassmans gave a shit or even realized the potential of fission?"										1				1	1					
		Jack	20	"They still created the technology that made it possible, goddamn it. Isn't that enough to damn them?"	Want		Love							-0.5									0.5	
		Joe	22	"If you want to blame anyone, blame Mother Nature. Blame the universe for giving us stars."				Nature						1	1			1						-1
